centre_id	centre_id_2	centre_ref	group	family	species	common	sex	age	dd	mm	yy	type	cause	fate	lat	long	buff_rad	prop_urban
cuan	2013	1	raptor	Accipitridae	Buteo buteo	buzzard	m	ad	1	1	2013	unknown	undet	r	52.648936	-2.890002	1000	18.59446546
cuan	2013	9	owl	Tytonidae	Tyto alba	barn owl	m	ad	4	1	2013	unknown	undet	d	52.370388	-2.711236	1000	77.57660167
cuan	2014	22	raptor	Accipitridae	Buteo buteo	buzzard	NA	NA	19	1	2014	human	elec	r	52.515917	-1.966497	1000	42.67807402
cuan	2013	24	raptor	Accipitridae	Accipiter nisus	sparrowhawk	NA	NA	14	1	2013	human	build	r	52.581848	-2.057249	1000	92.02307539
cuan	2015	27	owl	Strigidae	Strix aluco	tawny owl	m	ad	13	1	2015	human	veh	r	52.601169	-2.55889	1000	18.758703
cuan	2017	28	raptor	Accipitridae	Buteo buteo	buzzard	NA	juv	18	1	2017	natural	metab	r	52.549483	-2.414054	1000	3.779590213
cuan	2016	29	raptor	Falconidae	Falco tinnunculus	common kestrel	f	juv	21	1	2016	human	build	d	52.694929	-2.40698	1000	17.21458458
cuan	2013	30	owl	Tytonidae	Tyto alba	barn owl	f	ad	18	1	2013	unknown	trauma	d	52.535316	-2.423861	1000	70.25681863
cuan	2013	31	owl	Strigidae	Strix aluco	tawny owl	NA	ad	22	1	2013	human	veh	r	52.358451	-2.876964	1000	8.509366281
cuan	2013	34	raptor	Accipitridae	Buteo buteo	buzzard	NA	NA	25	1	2013	human	veh	d	52.648936	-2.890002	1000	18.59446546
cuan	2013	35	owl	Tytonidae	Tyto alba	barn owl	m	ad	27	1	2013	unknown	trauma	d	52.446985	-3.539366	1000	33.25363618
cuan	2015	35	owl	Strigidae	Strix aluco	tawny owl	f	juv	18	1	2015	human	veh	r	52.522503	-2.575361	1000	0.179175791
cuan	2013	36	raptor	Accipitridae	Buteo buteo	buzzard	m	ad	25	1	2013	human	veh	d	52.307662	-2.596409	1000	25.90013925
cuan	2015	37	raptor	Falconidae	Falco peregrinus	peregrine falcon	NA	juv	18	1	2015	natural	pred	r	52.378434	-2.483468	1000	22.81959379
cuan	2017	38	raptor	Accipitridae	Buteo buteo	buzzard	m	ad	25	1	2017	unknown	trauma	r	52.909134	-2.484237	1000	59.20031828
cuan	2013	41	owl	Strigidae	Strix aluco	tawny owl	NA	NA	28	1	2013	human	build	r	52.572347	-2.317872	1000	1.531728665
cuan	2017	42	raptor	Accipitridae	Buteo buteo	buzzard	NA	juv	27	1	2017	unknown	trauma	d	52.379293	-2.482957	1000	23.07539288
cuan	2017	43	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	28	1	2017	unknown	trauma	d	52.686351	-2.490407	1000	38.62549801
cuan	2013	44	owl	Strigidae	Strix aluco	tawny owl	NA	NA	30	1	2013	human	veh	r	53.35003	-2.576546	1000	51.26721213
cuan	2017	44	raptor	Accipitridae	Buteo buteo	buzzard	NA	ad	28	1	2017	unknown	undet	d	52.676717	-2.370835	1000	25.14410654
cuan	2017	46	raptor	Accipitridae	Buteo buteo	buzzard	m	ad	28	1	2017	human	veh	r	52.725765	-2.434172	1000	63.61464968
cuan	2013	47	owl	Strigidae	Strix aluco	tawny owl	NA	NA	1	2	2013	human	veh	r	52.686263	-2.734543	1000	33.14103839
cuan	2016	47	raptor	Accipitridae	Buteo buteo	buzzard	NA	juv	31	1	2016	human	veh	d	52.272228	-3.005069	1000	22.99262801
cuan	2017	48	raptor	Accipitridae	Buteo buteo	buzzard	NA	NA	29	1	2017	unknown	undet	d	52.666695	-2.372651	1000	47.61431412
cuan	2013	49	owl	Tytonidae	Tyto alba	barn owl	m	ad	1	2	2013	unknown	undet	r	52.726476	-2.455171	1000	49.39206697
cuan	2013	50	owl	Tytonidae	Tyto alba	barn owl	f	ad	2	2	2013	unknown	trauma	d	52.670441	-2.837598	1000	4.60342766
cuan	2013	51	owl	Strigidae	Strix aluco	tawny owl	m	ad	2	2	2013	unknown	trauma	d	52.553166	-2.113728	1000	85.8936043
cuan	2016	51	owl	Strigidae	Strix aluco	tawny owl	NA	ad	7	2	2016	natural	infect	d	52.536294	-2.803933	1000	44.38907714
cuan	2016	52	owl	Tytonidae	Tyto alba	barn owl	NA	ad	8	2	2016	unknown	undet	d	52.521413	-2.717919	1000	4.160860044
cuan	2015	53	raptor	Accipitridae	Buteo buteo	buzzard	NA	NA	29	1	2015	human	veh	d	52.680244	-2.4428	1000	80.02787734
cuan	2013	54	raptor	Accipitridae	Accipiter nisus	sparrowhawk	f	ad	5	2	2013	human	pers	d	52.44608	-2.068332	1000	85.02386635
cuan	2015	56	raptor	Accipitridae	Buteo buteo	buzzard	m	ad	31	1	2015	human	veh	d	52.653622	-2.592514	1000	1.852589641
cuan	2015	58	owl	Tytonidae	Tyto alba	barn owl	NA	ad	2	2	2015	human	veh	r	52.49266	-2.999198	1000	22.13831479
secret_world	NA	58	raptor	Accipitridae	Accipiter nisus	sparrowhawk	NA	ad	21	1	2011	unknown	trauma	d	51.303671	-2.847161	1000	4.082039028
cuan	2016	59	raptor	Accipitridae	Buteo buteo	buzzard	m	ad	11	2	2016	human	fen	r	52.794136	-2.991932	1000	4.141776185
cuan	2015	60	owl	Strigidae	Strix aluco	tawny owl	NA	ad	5	2	2015	human	veh	d	52.553647	-2.79786	1000	4.286283892
cuan	2014	61	raptor	Falconidae	Falco peregrinus	peregrine falcon	m	ad	25	2	2014	human	veh	r	52.717588	-2.526953	1000	45.99164512
cuan	2015	65	raptor	Accipitridae	Buteo buteo	buzzard	NA	NA	6	2	2015	unknown	undet	d	52.768528	-2.375713	1000	77.86183556
cuan	2013	70	owl	Tytonidae	Tyto alba	barn owl	m	ad	13	2	2013	unknown	trauma	r	52.857461	-2.722642	1000	51.22534369
cuan	2015	77	owl	Strigidae	Strix aluco	tawny owl	NA	ad	12	2	2015	human	veh	r	52.439819	-2.835621	1000	26.27809827
cuan	2017	77	raptor	Accipitridae	Buteo buteo	buzzard	NA	NA	20	2	2017	natural	infect	d	52.301427	-2.747069	1000	8.195742988
cuan	2015	78	owl	Tytonidae	Tyto alba	barn owl	NA	ad	13	2	2015	unknown	trauma	d	52.778602	-2.568652	1000	3.284889508
cuan	2013	81	owl	Strigidae	Strix aluco	tawny owl	NA	NA	19	2	2013	unknown	undet	d	52.611527	-2.483412	1000	34.88047809
cuan	2015	81	owl	Tytonidae	Tyto alba	barn owl	NA	ad	14	2	2015	unknown	undet	d	52.544603	-3.236385	1000	7.975338107
cuan	2013	87	raptor	Accipitridae	Buteo buteo	buzzard	m	ad	23	2	2013	natural	metab	r	52.534909	-2.410252	1000	49.16367981
cuan	2013	90	owl	Strigidae	Strix aluco	tawny owl	m	ad	27	2	2013	human	build	d	52.307627	-2.596257	1000	25.71144279
cuan	2017	90	owl	Strigidae	Strix aluco	tawny owl	m	juv	27	2	2017	unknown	trauma	r	52.580705	-2.809769	1000	0.119379228
cuan	2013	91	owl	Strigidae	Strix aluco	tawny owl	m	ad	28	2	2013	human	veh	d	52.666194	-2.671865	1000	4.57893689
cuan	2013	92	raptor	Accipitridae	Buteo buteo	buzzard	NA	NA	1	3	2013	human	veh	r	52.539502	-2.623633	1000	2.308917197
cuan	2016	96	owl	Strigidae	Strix aluco	tawny owl	NA	ad	11	3	2016	human	build	d	52.597134	-2.559293	1000	21.87001595
cuan	2017	97	owl	Strigidae	Strix aluco	tawny owl	f	ad	3	3	2017	human	build	r	52.45728	-2.352956	1000	16.8559474
cuan	2013	98	owl	Strigidae	Strix aluco	tawny owl	m	ad	4	3	2013	human	veh	d	52.736789	-2.729693	1000	93.48605578
cuan	2015	110	raptor	Accipitridae	Accipiter nisus	sparrowhawk	f	ad	3	3	2015	unknown	trauma	d	52.537513	-2.306295	1000	10.75697211
